Date,AAPL,META,TSLA,World,Politics,Coronavirus
2018-01-03,0.6,-0.5714285714285714,,-0.5443037974683544,,
2018-01-04,,-1.0,,-0.5833333333333334,,
2018-01-05,0.06666666666666667,-0.5,0.3333333333333333,-0.7307692307692307,,
2018-01-06,0.0,-0.3333333333333333,1.0,-0.6363636363636364,,
2018-01-07,,,1.0,-0.6,,
2018-01-08,-0.1111111111111111,-0.25,0.14285714285714285,-0.6875,,
2018-01-09,,1.0,,-1.0,,
2018-01-10,-1.0,-0.4,0.1111111111111111,-0.71875,,
2018-01-11,-0.2222222222222222,-1.0,0.0,-0.6727272727272727,,
2018-01-12,,,,-0.6296296296296297,,
2018-02-03,-1.0,-1.0,,-0.6388888888888888,,
2018-02-04,-0.5555555555555556,-0.4666666666666667,,-0.7297297297297297,,
2018-02-05,-0.06666666666666667,-0.5714285714285714,0.3333333333333333,-0.6307692307692307,,
2018-02-06,,1.0,,-0.7142857142857143,,
2018-02-07,0.0,-0.25,-0.2,-0.5263157894736842,,
2018-02-08,-0.36363636363636365,-0.3333333333333333,-0.16666666666666666,-0.3090909090909091,,
2018-02-09,,0.0,,-0.68,-1.0,
2018-02-10,-0.2,-0.6923076923076923,-0.5,-0.4939759036144578,-1.0,
2018-02-11,-0.75,-0.14285714285714285,-0.3333333333333333,-0.4426229508196721,-1.0,
2018-02-12,,-1.0,,-0.4,-1.0,
2018-02-13,,,,-0.7108433734939759,-0.2,
2018-02-14,,,,-0.7631578947368421,-0.7894736842105263,
2018-02-15,,,,-0.6129032258064516,-0.5714285714285714,
2018-02-16,,,,-0.7419354838709677,0.0,
2018-02-17,,,,-0.7333333333333333,-0.3333333333333333,
2018-02-18,,,,-0.5172413793103449,-1.0,
2018-02-19,,,,-0.7288135593220338,-0.75,
2018-02-20,,,,-0.6296296296296297,-0.8461538461538461,
2018-02-21,,,,-0.7948717948717948,-0.3333333333333333,
2018-02-22,,,,-0.725,-0.8333333333333334,
2018-02-23,,,,-0.47058823529411764,-0.75,
2018-02-24,,,,-0.6875,0.0,
2018-02-25,,,,-0.6470588235294118,,
2018-02-26,,,,-0.8181818181818182,-0.6,
2018-02-27,-0.5,0.0,,-0.52,-0.6666666666666666,
2018-02-28,-0.42857142857142855,-0.25,,-0.7948717948717948,-0.7142857142857143,
2018-03-01,,,,,-1.0,
2018-03-02,,,,,-1.0,
2018-03-03,-1.0,-1.0,,-0.6666666666666666,-1.0,
2018-03-04,-0.14285714285714285,-0.9090909090909091,,-0.8769230769230769,-1.0,
2018-03-05,-0.6,-0.5714285714285714,-0.42857142857142855,-0.6,-0.42857142857142855,
2018-03-06,,0.0,,-0.5675675675675675,-0.4117647058823529,
2018-03-07,-0.3333333333333333,-0.7333333333333333,0.0,-0.5094339622641509,-0.4,
2018-03-08,0.1111111111111111,0.0,0.0,-0.543859649122807,-0.5384615384615384,
2018-03-09,,-1.0,-1.0,-0.5384615384615384,-0.5,
2018-03-10,-0.14285714285714285,-0.7142857142857143,-0.2,-0.48484848484848486,-1.0,
2018-03-11,1.0,0.0,,-0.6666666666666666,-0.6666666666666666,
2018-03-12,-0.14285714285714285,-1.0,-0.25,-0.7288135593220338,-1.0,
2018-03-13,-0.3333333333333333,0.0,,-0.6923076923076923,-0.8823529411764706,
2018-03-14,-0.5,-0.6363636363636364,,-0.7701149425287356,-0.2631578947368421,
2018-03-15,-0.25,-0.5555555555555556,,-0.6595744680851063,-0.4666666666666667,
2018-03-16,-0.2,0.0,,-0.6140350877192983,-1.0,
2018-03-17,-1.0,-0.3333333333333333,,-0.6,-1.0,
2018-03-18,-0.3333333333333333,-1.0,,-0.6,-1.0,
2018-03-19,-0.4,-0.7419354838709677,,-0.6923076923076923,-0.4666666666666667,
2018-03-20,-0.16666666666666666,-0.4838709677419355,,-0.6091954022988506,-0.42857142857142855,
2018-03-21,-0.45454545454545453,-0.5483870967741935,,-0.775,-0.2727272727272727,
2018-03-22,-0.6666666666666666,-0.8260869565217391,,-0.4444444444444444,-0.6363636363636364,
2018-03-23,-0.8461538461538461,-0.7,,-0.5492957746478874,-0.7333333333333333,
2018-03-24,-1.0,-0.6666666666666666,,-0.7333333333333333,,
2018-03-25,-1.0,-1.0,,-0.5135135135135135,-0.5,
2018-03-26,-0.14285714285714285,-0.4666666666666667,,-0.4642857142857143,-0.09090909090909091,
2018-03-27,-0.38461538461538464,-0.23809523809523808,,-0.6451612903225806,-0.6666666666666666,
