year,period,periodName,latest,value,footnotes
2022,M09,September,true,3.5,[{}]
2022,M08,August,,3.7,[{}]
2022,M07,July,,3.5,[{}]
2022,M06,June,,3.6,[{}]
2022,M05,May,,3.6,[{}]
2022,M04,April,,3.6,[{}]
2022,M03,March,,3.6,[{}]
2022,M02,February,,3.8,[{}]
2022,M01,January,,4.0,[{}]
2021,M12,December,,3.9,[{}]
2021,M11,November,,4.2,[{}]
2021,M10,October,,4.6,[{}]
2021,M09,September,,4.7,[{}]
2021,M08,August,,5.2,[{}]
2021,M07,July,,5.4,[{}]
2021,M06,June,,5.9,[{}]
2021,M05,May,,5.8,[{}]
2021,M04,April,,6.0,[{}]
2021,M03,March,,6.0,[{}]
2021,M02,February,,6.2,[{}]
2021,M01,January,,6.4,[{}]
2020,M12,December,,6.7,[{}]
2020,M11,November,,6.7,[{}]
2020,M10,October,,6.9,[{}]
2020,M09,September,,7.9,[{}]
2020,M08,August,,8.4,[{}]
2020,M07,July,,10.2,[{}]
2020,M06,June,,11.0,[{}]
2020,M05,May,,13.2,[{}]
2020,M04,April,,14.7,[{}]
2020,M03,March,,4.4,[{}]
2020,M02,February,,3.5,[{}]
2020,M01,January,,3.5,[{}]
2019,M12,December,,3.6,[{}]
2019,M11,November,,3.6,[{}]
2019,M10,October,,3.6,[{}]
2019,M09,September,,3.5,[{}]
2019,M08,August,,3.7,[{}]
2019,M07,July,,3.7,[{}]
2019,M06,June,,3.6,[{}]
2019,M05,May,,3.6,[{}]
2019,M04,April,,3.6,[{}]
2019,M03,March,,3.8,[{}]
2019,M02,February,,3.8,[{}]
2019,M01,January,,4.0,[{}]
2018,M12,December,,3.9,[{}]
2018,M11,November,,3.8,[{}]
2018,M10,October,,3.8,[{}]
2018,M09,September,,3.7,[{}]
2018,M08,August,,3.8,[{}]
2018,M07,July,,3.8,[{}]
2018,M06,June,,4.0,[{}]
2018,M05,May,,3.8,[{}]
2018,M04,April,,4.0,[{}]
2018,M03,March,,4.0,[{}]
2018,M02,February,,4.1,[{}]
2018,M01,January,,4.0,[{}]
