year,period,periodName,latest,value,footnotes
2022,Q02,2nd Quarter,true,-4.1,"[{'code': 'R', 'text': 'revised'}]"
2022,Q01,1st Quarter,,-7.4,[{}]
2021,Q04,4th Quarter,,6.3,[{}]
2021,Q03,3rd Quarter,,-3.9,[{}]
2021,Q02,2nd Quarter,,3.2,[{}]
2021,Q01,1st Quarter,,2.2,[{}]
2020,Q04,4th Quarter,,-2.8,[{}]
2020,Q03,3rd Quarter,,6.2,[{}]
2020,Q02,2nd Quarter,,10.3,[{}]
2020,Q01,1st Quarter,,-2.5,[{}]
2019,Q04,4th Quarter,,1.4,[{}]
2019,Q03,3rd Quarter,,1.3,[{}]
2019,Q02,2nd Quarter,,3.7,[{}]
2019,Q01,1st Quarter,,3.4,[{}]
2018,Q04,4th Quarter,,0.1,[{}]
2018,Q03,3rd Quarter,,1.3,[{}]
2018,Q02,2nd Quarter,,1.4,[{}]
2018,Q01,1st Quarter,,1.3,[{}]
