tickers_to_predict,sentiment_filepath,window,lookback,thresh,intercept,Sharpe_ratio
['META'],/vader_pred_returns_rfr_test.csv,120,15,1.0,False,3.662
['META'],/stacked_pred_returns_rfr_test.csv,120,30,0.75,True,3.594
['META'],/stacked_pred_returns_rfr_test.csv,120,15,1.0,True,3.314
"['META', 'TSLA']",/stacked_pred_returns_rfr_test.csv,120,30,0.75,True,3.296
"['META', 'TSLA']",/stacked_pred_returns_rfr_test.csv,120,15,0.75,True,3.291
['META'],/vader_pred_returns_rfr_test.csv,120,15,1.0,True,3.275
['META'],/stacked_pred_returns_rfr_test.csv,120,15,1.0,False,3.274
"['META', 'TSLA']",/stacked_pred_returns_rfr_test.csv,120,30,0.75,False,3.261
"['META', 'TSLA']",/stacked_pred_returns_rfr_test.csv,120,15,1.0,False,3.131
"['META', 'TSLA']",/stacked_pred_returns_rfr_test.csv,120,15,1.0,True,3.025
"['META', 'TSLA']",/stacked_pred_returns_rfr_test.csv,120,15,0.75,False,2.846
"['META', 'TSLA']",/flair_pred_returns_rfr_test.csv,120,15,1.0,True,2.837
"['META', 'TSLA']",/flair_pred_returns_rfr_test.csv,120,15,1.0,False,2.823
"['META', 'TSLA']",/flair_pred_returns_rfr_test.csv,120,45,0.75,False,2.823
['META'],/flair_pred_returns_rfr_test.csv,120,45,0.75,False,2.799
['META'],/stacked_pred_returns_rfr_test.csv,120,15,0.75,True,2.789
['META'],/stacked_pred_returns_rfr_test.csv,120,15,0.75,False,2.757
"['META', 'TSLA']",/finbert_pred_returns_rfr_test.csv,120,15,0.75,True,2.752
"['META', 'TSLA']",/flair_pred_returns_rfr_test.csv,120,45,0.75,True,2.751
['META'],/finbert_pred_returns_rfr_test.csv,120,15,0.75,True,2.722
"['META', 'TSLA']",/finbert_pred_returns_rfr_test.csv,120,15,0.75,False,2.722
['META'],/vader_pred_returns_rfr_test.csv,120,15,0.75,True,2.721
"['META', 'TSLA']",/vader_pred_returns_rfr_test.csv,120,15,0.75,True,2.705
['META'],/vader_pred_returns_rfr_test.csv,120,15,0.75,False,2.683
['META'],/finbert_pred_returns_rfr_test.csv,120,15,0.75,False,2.668
['META'],/flair_pred_returns_rfr_test.csv,120,30,0.75,True,2.662
['META'],/flair_pred_returns_rfr_test.csv,120,15,1.0,True,2.662
['META'],/flair_pred_returns_rfr_test.csv,120,45,0.75,True,2.662
['META'],/flair_pred_returns_rfr_test.csv,120,30,0.75,False,2.625
['META'],/flair_pred_returns_rfr_test.csv,120,15,1.0,False,2.625
['META'],/vader_pred_returns_rfr_test.csv,120,30,0.75,True,2.585
['META'],/stacked_pred_returns_rfr_test.csv,120,30,0.75,False,2.582
['META'],/finbert_pred_returns_rfr_test.csv,120,15,1.0,True,2.572
"['META', 'TSLA']",/stacked_pred_returns_rfr_test.csv,120,45,0.75,True,2.461
"['META', 'TSLA']",/stacked_pred_returns_rfr_test.csv,120,45,0.75,False,2.425
['META'],/stacked_pred_returns_rfr_test.csv,120,45,0.75,True,2.404
['META'],/vader_pred_returns_rfr_test.csv,120,45,0.75,True,2.357
['META'],/finbert_pred_returns_rfr_test.csv,120,45,0.75,True,2.357
['META'],/stacked_pred_returns_rfr_test.csv,120,45,0.75,False,2.355
"['AAPL', 'TSLA', 'META']",/stacked_pred_returns_rfr_test.csv,120,15,0.75,True,2.335
"['META', 'TSLA']",/vader_pred_returns_rfr_test.csv,120,30,1.0,False,2.332
['META'],/vader_pred_returns_rfr_test.csv,120,45,0.75,False,2.304
['TSLA'],/finbert_pred_returns_rfr_test.csv,120,30,0.75,False,2.303
"['META', 'TSLA']",/flair_pred_returns_rfr_test.csv,120,30,0.75,True,2.266
"['META', 'TSLA']",/flair_pred_returns_rfr_test.csv,120,30,0.75,False,2.248
['TSLA'],/finbert_pred_returns_rfr_test.csv,120,30,1.5,True,2.24
