tickers_to_predict,sentiment_filepath,window,lookback,thresh,intercept,Sharpe_ratio
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,45,1.0,True,1.981
"('META',)",/flair_pred_returns_rfr_test.csv,120,30,1.0,True,1.955
"('META',)",/stacked_pred_returns_rfr_test.csv,120,30,1.0,True,1.949
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,45,1.0,False,1.912
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,15,1.0,False,1.912
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,30,1.0,False,1.912
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,45,0.75,False,1.912
"('META',)",/flair_pred_returns_rfr_test.csv,120,30,1.0,False,1.908
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,0.75,False,1.907
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,1.0,False,1.907
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,1.0,False,1.907
"('META',)",/stacked_pred_returns_rfr_test.csv,120,30,1.0,False,1.906
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,15,1.5,False,1.906
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,30,1.5,False,1.906
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,15,1.0,True,1.905
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,30,1.0,True,1.905
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,45,1.0,True,1.905
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,45,0.75,True,1.905
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,45,0.75,True,1.904
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,30,1.0,True,1.904
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,15,1.0,True,1.904
"('AAPL', 'TSLA', 'META')",/vader_pred_returns_rfr_test.csv,120,15,1.0,True,1.901
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,45,0.75,False,1.898
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,30,1.0,False,1.898
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,45,1.0,False,1.898
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,15,1.0,False,1.898
"('META',)",/stacked_pred_returns_rfr_test.csv,120,15,1.0,True,1.895
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,1.0,True,1.893
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,0.75,True,1.893
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,1.0,True,1.893
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,45,1.0,True,1.889
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,15,1.0,True,1.889
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,30,1.0,True,1.889
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,45,0.75,True,1.889
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,30,1.5,True,1.855
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,15,1.5,True,1.855
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,15,1.0,False,1.854
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,15,0.75,True,1.842
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,45,1.0,True,1.805
"('META',)",/stacked_pred_returns_rfr_test.csv,120,15,1.0,False,1.803
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,45,0.75,True,1.788
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,15,1.0,True,1.787
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,15,1.5,False,1.779
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,30,1.5,False,1.779
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,45,1.0,False,1.777
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,45,1.0,False,1.774
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,15,1.5,True,1.773
"('AAPL', 'TSLA', 'META')",/flair_pred_returns_rfr_test.csv,120,15,1.0,True,1.769
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,30,0.75,True,1.766
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,1.5,False,1.762
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,15,1.5,False,1.762
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,15,1.5,False,1.758
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,30,1.5,False,1.758
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,45,1.0,True,1.752
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,15,1.5,True,1.748
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,15,1.5,True,1.748
"('AAPL', 'TSLA', 'META')",/flair_pred_returns_rfr_test.csv,120,15,1.0,False,1.742
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,30,0.75,True,1.712
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,45,1.0,False,1.7
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,30,1.0,False,1.7
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,15,0.75,False,1.69
"('AAPL', 'TSLA', 'META')",/vader_pred_returns_rfr_test.csv,120,30,0.75,False,1.689
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,45,1.0,True,1.686
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,30,1.0,True,1.686
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,15,1.0,False,1.669
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,0.75,False,1.669
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,0.75,True,1.666
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,15,1.0,True,1.666
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,30,0.75,False,1.652
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,30,0.75,True,1.649
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,15,0.75,True,1.646
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,30,1.5,False,1.637
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,30,0.75,False,1.635
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,30,0.75,False,1.631
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,15,0.75,False,1.629
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,30,0.75,True,1.626
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,15,0.75,False,1.626
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,15,0.75,True,1.625
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,30,1.5,True,1.623
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,15,0.75,False,1.616
"('AAPL', 'TSLA', 'META')",/vader_pred_returns_rfr_test.csv,120,30,0.75,True,1.615
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,30,0.75,True,1.612
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,15,1.5,True,1.604
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,15,0.75,True,1.601
"('AAPL', 'TSLA', 'META')",/vader_pred_returns_rfr_test.csv,120,45,0.75,True,1.572
"('AAPL', 'TSLA', 'META')",/vader_pred_returns_rfr_test.csv,120,45,0.75,False,1.569
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,30,2.0,False,1.567
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,45,2.0,False,1.567
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,45,1.5,False,1.567
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,15,2.0,False,1.567
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,45,0.75,False,1.513
"('META',)",/stacked_pred_returns_rfr_test.csv,120,45,1.0,False,1.51
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,30,2.0,True,1.505
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,45,2.0,True,1.505
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,45,1.5,True,1.505
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,15,2.0,True,1.505
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,15,2.0,False,1.503
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,1.5,False,1.503
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,2.0,False,1.503
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,2.0,False,1.503
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,45,1.5,True,1.474
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,30,1.5,True,1.474
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,30,2.0,False,1.457
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,2.0,True,1.457
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,45,1.5,True,1.457
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,15,2.0,True,1.457
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,45,1.5,False,1.457
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,2.0,True,1.457
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,45,2.0,False,1.457
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,15,2.0,False,1.457
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,30,2.0,False,1.453
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,45,1.5,False,1.453
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,15,2.0,False,1.453
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,45,2.0,False,1.453
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,45,1.5,False,1.449
"('META',)",/finbert_pred_returns_rfr_test.csv,120,30,1.0,True,1.438
"('META',)",/finbert_pred_returns_rfr_test.csv,120,45,1.0,True,1.438
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,45,1.5,True,1.43
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,15,2.0,True,1.43
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,45,2.0,True,1.43
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,30,2.0,True,1.43
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,15,2.0,True,1.428
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,30,2.0,True,1.428
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,45,2.0,True,1.428
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,45,1.5,True,1.428
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,15,1.5,False,1.41
"('META',)",/finbert_pred_returns_rfr_test.csv,120,30,1.0,False,1.382
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,15,0.75,False,1.367
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,15,0.75,True,1.365
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,15,1.5,True,1.345
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,30,1.5,False,1.321
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,15,1.5,False,1.321
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,15,1.5,False,1.312
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,30,1.5,False,1.312
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,15,1.5,True,1.294
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,30,1.5,True,1.294
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,15,0.75,False,1.271
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,30,1.0,False,1.262
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,45,1.0,False,1.262
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,30,2.0,False,1.255
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,45,2.0,False,1.255
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,15,2.0,False,1.255
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,45,1.5,False,1.255
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,45,1.0,True,1.25
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,30,1.0,True,1.25
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,15,0.75,True,1.229
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,45,1.5,True,1.227
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,15,2.0,True,1.227
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,45,2.0,True,1.227
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,30,2.0,True,1.227
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,15,1.5,False,1.188
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,30,1.5,False,1.188
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,15,1.5,True,1.176
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,30,1.5,True,1.176
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,45,1.5,False,1.149
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,45,2.0,False,1.149
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,15,2.0,False,1.149
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,30,2.0,False,1.149
"('AAPL', 'TSLA', 'META')",/flair_pred_returns_rfr_test.csv,120,30,1.0,True,1.129
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,45,2.0,True,1.118
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,15,2.0,True,1.118
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,30,2.0,True,1.118
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,30,2.0,True,1.116
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,45,1.5,True,1.116
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,45,2.0,True,1.116
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,15,2.0,True,1.116
"('AAPL', 'TSLA', 'META')",/flair_pred_returns_rfr_test.csv,120,30,1.0,False,1.101
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,30,2.0,False,1.098
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,45,2.0,False,1.098
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,15,2.0,False,1.098
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,1.5,True,1.069
"('META',)",/finbert_pred_returns_rfr_test.csv,120,30,1.5,True,1.069
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,2.0,True,1.069
"('META',)",/finbert_pred_returns_rfr_test.csv,120,30,2.0,True,1.069
"('META',)",/finbert_pred_returns_rfr_test.csv,120,45,1.5,True,1.069
"('META',)",/finbert_pred_returns_rfr_test.csv,120,45,2.0,True,1.069
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,15,0.75,False,1.051
"('AAPL', 'TSLA', 'META')",/flair_pred_returns_rfr_test.csv,120,45,0.75,True,1.037
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,15,2.0,False,1.016
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,30,2.0,False,1.016
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,45,2.0,False,1.016
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,0.75,True,1.015
"('META',)",/finbert_pred_returns_rfr_test.csv,120,30,1.5,False,1.011
"('META',)",/finbert_pred_returns_rfr_test.csv,120,45,1.5,False,1.011
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,1.5,False,1.011
"('META',)",/finbert_pred_returns_rfr_test.csv,120,45,1.0,False,1.011
"('META',)",/finbert_pred_returns_rfr_test.csv,120,30,2.0,False,1.011
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,2.0,False,1.011
"('META',)",/finbert_pred_returns_rfr_test.csv,120,45,2.0,False,1.011
"('META',)",/flair_pred_returns_rfr_test.csv,120,45,1.5,True,1.003
"('META',)",/flair_pred_returns_rfr_test.csv,120,45,1.0,True,1.003
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,1.5,True,1.003
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,2.0,True,1.003
"('META',)",/flair_pred_returns_rfr_test.csv,120,30,2.0,True,1.003
"('META',)",/flair_pred_returns_rfr_test.csv,120,45,2.0,True,1.003
"('META',)",/flair_pred_returns_rfr_test.csv,120,30,1.5,True,1.003
"('AAPL', 'TSLA', 'META')",/flair_pred_returns_rfr_test.csv,120,45,0.75,False,0.997
"('AAPL', 'TSLA', 'META')",/vader_pred_returns_rfr_test.csv,120,15,0.75,False,0.989
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,0.75,False,0.979
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,45,2.0,True,0.979
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,30,2.0,True,0.979
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,15,2.0,True,0.979
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,45,1.5,True,0.979
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,1.5,False,0.949
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,2.0,False,0.949
"('META',)",/flair_pred_returns_rfr_test.csv,120,45,1.5,False,0.949
"('META',)",/flair_pred_returns_rfr_test.csv,120,45,2.0,False,0.949
"('META',)",/flair_pred_returns_rfr_test.csv,120,30,1.5,False,0.949
"('META',)",/flair_pred_returns_rfr_test.csv,120,30,2.0,False,0.949
"('META',)",/flair_pred_returns_rfr_test.csv,120,45,1.0,False,0.949
"('AAPL', 'TSLA', 'META')",/stacked_pred_returns_rfr_test.csv,120,15,0.75,False,0.947
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,30,1.0,True,0.944
"('META',)",/stacked_pred_returns_rfr_test.csv,120,15,2.0,True,0.934
"('META',)",/stacked_pred_returns_rfr_test.csv,120,15,1.5,True,0.934
"('META',)",/stacked_pred_returns_rfr_test.csv,120,45,1.0,True,0.934
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,30,1.0,False,0.934
"('META',)",/stacked_pred_returns_rfr_test.csv,120,30,1.5,True,0.934
"('META',)",/stacked_pred_returns_rfr_test.csv,120,30,2.0,True,0.934
"('META',)",/stacked_pred_returns_rfr_test.csv,120,45,2.0,True,0.934
"('META',)",/stacked_pred_returns_rfr_test.csv,120,45,1.5,True,0.934
"('AAPL', 'TSLA', 'META')",/stacked_pred_returns_rfr_test.csv,120,15,0.75,True,0.933
"('AAPL', 'TSLA', 'META')",/vader_pred_returns_rfr_test.csv,120,15,0.75,True,0.929
"('AAPL', 'TSLA', 'META')",/flair_pred_returns_rfr_test.csv,120,30,0.75,True,0.914
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,30,1.5,False,0.914
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,30,1.5,True,0.909
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,45,1.0,False,0.892
"('AAPL', 'TSLA', 'META')",/flair_pred_returns_rfr_test.csv,120,45,1.0,True,0.891
"('META',)",/stacked_pred_returns_rfr_test.csv,120,30,2.0,False,0.889
"('META',)",/stacked_pred_returns_rfr_test.csv,120,30,1.5,False,0.889
"('META',)",/stacked_pred_returns_rfr_test.csv,120,45,2.0,False,0.889
"('META',)",/stacked_pred_returns_rfr_test.csv,120,45,1.5,False,0.889
"('META',)",/stacked_pred_returns_rfr_test.csv,120,15,1.5,False,0.889
"('META',)",/stacked_pred_returns_rfr_test.csv,120,15,2.0,False,0.889
"('AAPL', 'TSLA', 'META')",/finbert_pred_returns_rfr_test.csv,120,45,1.0,True,0.885
"('AAPL', 'TSLA', 'META')",/stacked_pred_returns_rfr_test.csv,120,15,1.0,False,0.882
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,0.75,False,0.874
"('META',)",/vader_pred_returns_rfr_test.csv,120,30,1.0,True,0.868
"('META',)",/vader_pred_returns_rfr_test.csv,120,15,1.5,True,0.868
"('META',)",/vader_pred_returns_rfr_test.csv,120,15,2.0,True,0.868
"('META',)",/vader_pred_returns_rfr_test.csv,120,30,2.0,True,0.868
"('META',)",/vader_pred_returns_rfr_test.csv,120,45,1.0,True,0.868
"('META',)",/vader_pred_returns_rfr_test.csv,120,45,1.5,True,0.868
"('META',)",/vader_pred_returns_rfr_test.csv,120,45,2.0,True,0.868
"('META',)",/vader_pred_returns_rfr_test.csv,120,30,1.5,True,0.868
"('AAPL', 'TSLA', 'META')",/stacked_pred_returns_rfr_test.csv,120,30,1.0,False,0.865
"('AAPL', 'TSLA', 'META')",/flair_pred_returns_rfr_test.csv,120,45,1.0,False,0.863
"('META',)",/vader_pred_returns_rfr_test.csv,120,15,2.0,False,0.841
"('META',)",/vader_pred_returns_rfr_test.csv,120,30,1.0,False,0.841
"('META',)",/vader_pred_returns_rfr_test.csv,120,15,1.5,False,0.841
"('META',)",/vader_pred_returns_rfr_test.csv,120,45,2.0,False,0.841
"('META',)",/vader_pred_returns_rfr_test.csv,120,45,1.5,False,0.841
"('META',)",/vader_pred_returns_rfr_test.csv,120,45,1.0,False,0.841
"('META',)",/vader_pred_returns_rfr_test.csv,120,30,2.0,False,0.841
"('META',)",/vader_pred_returns_rfr_test.csv,120,30,1.5,False,0.841
