tickers_to_predict,sentiment_filepath,window,lookback,thresh,intercept,Sharpe_ratio
"('META',)",/flair_pred_returns_rfr_test.csv,120,30,0.75,True,3.566
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,30,0.75,False,3.397
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,30,0.75,True,3.283
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,30,0.75,True,3.272
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,1.0,False,3.252
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,1.0,True,3.158
"('META',)",/flair_pred_returns_rfr_test.csv,120,15,1.0,True,3.138
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,1.0,False,3.121
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,15,1.0,False,3.081
"('META',)",/vader_pred_returns_rfr_test.csv,120,15,1.0,True,3.044
"('META',)",/vader_pred_returns_rfr_test.csv,120,45,0.75,True,3.021
"('META',)",/vader_pred_returns_rfr_test.csv,120,15,1.0,False,2.997
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,15,1.0,True,2.993
"('META',)",/vader_pred_returns_rfr_test.csv,120,45,0.75,False,2.991
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,15,1.0,False,2.971
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,15,1.0,True,2.956
"('META',)",/vader_pred_returns_rfr_test.csv,120,30,0.75,True,2.908
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,15,0.75,True,2.908
"('META',)",/vader_pred_returns_rfr_test.csv,120,30,0.75,False,2.849
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,15,1.0,False,2.748
"('META',)",/finbert_pred_returns_rfr_test.csv,120,15,0.75,True,2.746
"('META',)",/stacked_pred_returns_rfr_test.csv,120,15,0.75,True,2.722
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,30,0.75,False,2.722
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,30,0.75,False,2.7
"('META',)",/stacked_pred_returns_rfr_test.csv,120,15,0.75,False,2.693
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,45,0.75,False,2.67
"('META',)",/stacked_pred_returns_rfr_test.csv,120,30,0.75,True,2.665
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,45,0.75,True,2.66
"('META',)",/finbert_pred_returns_rfr_test.csv,120,30,0.75,True,2.633
"('META',)",/finbert_pred_returns_rfr_test.csv,120,30,0.75,False,2.611
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,15,1.0,True,2.607
"('META',)",/stacked_pred_returns_rfr_test.csv,120,30,0.75,False,2.589
"('META',)",/flair_pred_returns_rfr_test.csv,120,30,0.75,False,2.546
"('META', 'TSLA')",/vader_pred_returns_rfr_test.csv,120,30,0.75,True,2.542
"('META',)",/finbert_pred_returns_rfr_test.csv,120,45,0.75,True,2.441
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,45,0.75,False,2.395
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,15,0.75,False,2.394
"('META',)",/finbert_pred_returns_rfr_test.csv,120,45,0.75,False,2.393
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,15,0.75,True,2.375
"('META',)",/flair_pred_returns_rfr_test.csv,120,45,0.75,True,2.365
"('META',)",/flair_pred_returns_rfr_test.csv,120,45,0.75,False,2.316
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,45,0.75,True,2.287
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,45,0.75,False,2.255
"('META',)",/stacked_pred_returns_rfr_test.csv,120,45,0.75,True,2.225
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,30,0.75,False,2.199
"('META',)",/stacked_pred_returns_rfr_test.csv,120,45,0.75,False,2.182
"('TSLA',)",/finbert_pred_returns_rfr_test.csv,120,30,1.5,True,2.139
"('TSLA',)",/flair_pred_returns_rfr_test.csv,120,30,1.5,True,2.129
"('TSLA',)",/vader_pred_returns_rfr_test.csv,120,30,1.5,True,2.119
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,45,0.75,False,2.088
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,15,1.0,False,2.088
"('META', 'TSLA')",/finbert_pred_returns_rfr_test.csv,120,45,0.75,True,2.065
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,15,0.75,True,2.063
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,30,0.75,False,2.047
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,45,0.75,False,2.032
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,15,1.0,False,2.032
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,30,1.0,False,2.032
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,45,1.0,False,2.032
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,30,1.0,True,2.029
"('META', 'TSLA')",/flair_pred_returns_rfr_test.csv,120,30,1.0,False,1.998
"('META', 'TSLA')",/stacked_pred_returns_rfr_test.csv,120,30,1.0,False,1.982
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,45,0.75,True,1.981
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,15,1.0,True,1.981
"('TSLA',)",/stacked_pred_returns_rfr_test.csv,120,30,1.0,True,1.981
"('AAPL', 'TSLA', 'META')",/vader_pred_returns_rfr_test.csv,120,15,1.0,False,1.981
